episode,episode_reward,fps,step
1.0,1.7591903594962932,5.632511488698318,1000
2.0,10.214191403066563,262.0665265830789,2000
3.0,0.7152485433905591,4.571314067361127,3000
4.0,1.9452247933366176,4.529668948008647,4000
5.0,2.082786220434772,4.488320740960555,5000
6.0,0.12065703482608345,4.602198682495891,6000
7.0,4.516193884361329,4.738546433654934,7000
8.0,5.614140384413645,4.708645625315166,8000
9.0,3.198034408162594,4.710602460221677,9000
10.0,6.735205065360425,4.621495402934824,10000
11.0,3.901595303645109,4.639337702262454,11000
12.0,6.28442980024232,4.583177880089486,12000
13.0,4.944124216031403,4.556093240596595,13000
14.0,1.8571115091680181,4.639075205426124,14000
15.0,5.854529683471395,4.631383868458939,15000
16.0,4.900501387448508,4.724953746235761,16000
17.0,1.1239786261491733,4.532641159066185,17000
18.0,9.944517018075176,4.562622008386253,18000
19.0,3.1060632309454563,4.597935405645462,19000
20.0,5.416183279003675,4.53220946661613,20000
21.0,2.9740121204044585,4.585545813620524,21000
22.0,1.396836562727869,4.637867249117573,22000
23.0,9.742680663044734,4.730878178149902,23000
24.0,1.260793050907797,4.421968257469398,24000
25.0,5.150095607170656,4.451659652980602,25000
26.0,5.952698638496668,4.163283797082883,26000
27.0,9.124933712562482,3.885021307639923,27000
28.0,2.4837245645942168,3.8581812127051807,28000
29.0,8.654138938273721,3.73841902965295,29000
30.0,4.839667241173118,3.701535012035533,30000
31.0,3.132674934514564,3.7136602536502883,31000
32.0,1.7715830878768215,3.938134990094994,32000
33.0,3.637327533704508,3.8350925912699916,33000
34.0,1.7473205758193986,3.7712684687296307,34000
35.0,0.23445303194719477,3.6889736679581566,35000
36.0,2.4538173914341197,3.7036962797107034,36000
37.0,0.7962115559470936,3.8783612799928933,37000
38.0,3.5110078717050976,3.9105862148404857,38000
39.0,4.0411491012941045,3.7993693782954048,39000
40.0,1.3162828645092761,3.750392946793655,40000
41.0,2.040338393972051,3.67638972285591,41000
42.0,6.753745815296487,3.8801943085630963,42000
43.0,5.53233331451992,3.892575725973265,43000
44.0,2.6497904580424843,3.825249637543282,44000
